number,name,description,image
1193F1S,Barlowe Collection ,"A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the french note fabric offerings. New fabric options include: blue, grey, dark teal, chain link print, and paisley print.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1193F1S.jpg
2617N-36,Ronan Collection ,"With the look of natural wood planking and a burnished rustic finish, the Ronan Collection melds with your image of a transitionally styled dining room. The substantially sized table features an extension leaf that allows for the expansion of the table to seat eight. Beige fabric covers the seat of the coordinating chairs, accenting the table perfectly.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2617N-36.jpg
5466-62,Festus Collection ,"Offered for your casual dining room is the Festus Collection. Extending to support and frame the corners of the light toned genuine marble tabletop are dark cherry finished legs. The coordinating chairs and bench feature dark brown bi-cast vinyl padded seats, each presenting a wrapped fold as the main focal accent.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5466-62.jpg
710-36RD,Daisy Collection,Daisy Collection combines superb visual appearance and fine quality that you need in your dining area. Three distinct elegant flared tulip bases support beveled glass tabletops on the rectangular and round traditional dining height tables and a round gathering height table. Additional offering is the trestle table with black glass insert. Counter and dining height chairs feature clean lines and sleek curves; available in both white and bi-cast vinyl and dark brown bi-cast vinyl. The set is constructed of hardwood solids and veneers in a refreshing espresso finish.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/710-36RD.jpg
5100-84,Luella Collection ,"At home in a number of decorative styles, the Luella Collection will be the perfect match for your living space. Zinc table top is supported by X-frame bases in this casual dining offering. The table is flanked by coordinating chairs, each with a neutral tone fabric and nailhead accent. Completing the look is a cool weathered oak finish that serves as the perfect contrast to the natural grey tone of the zinc table top.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5100-84.jpg
8326BRW-3,Pendu Collection ,"Contoured for your ultimate comfort and designed for placement in homes with transitional or contemporary style, the Pendu Collection will provide the relaxing platform you need for your downtime. Plush seating and backs extend from seated to prone with a pull of the manual reclining mechanism on each piece in the collection - dual reclining sofa, love seat and chair. The top and front bodies of each piece in the collection is covered in black or brown top grain leather, with leather match covering those areas beyond your initial reach.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8326BRW.jpg
4500-F3,Cleo Collection ,Â ,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4500-F3.jpg
H10128,Elan Collection,"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant rectangular lamp shade. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/H10128_lights on_c.jpg
469PU,Claire Collection ,"This functional two-seat storage ottoman reverses to reveal 2 individual serving trays and 2 cleverly stored stools. Covered in dark brown bi-cast vinyl, this look is also offered in mottled brown polished microfiber.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/469PU.jpg
8334BLK-3,Oriole Collection ,"At home in transitional to contemporary settings, the Oriole will be a welcome addition to your living room. The black AireHyde match cover is utilized for comfort and durability. Ample seating creates a plush platform for your relaxation, with each piece in the collection offering unique functionality. The dual reclining sofa features a drop-down center seatback that opens to reveal a table top and cup holders. Glider reclining mechanisms provide additional comfort on the love seat with center console unit. The Chair completes the seating collection with swivel and glider reclining function.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8334BLK.jpg
1916-1,Allura Collection ,"Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of the night stand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the silver finish of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1916-1.jpg
5447-24S,Bayshore Collection , ,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5447-24S & 5447-29S.jpg
5874TE-1*,Carlow Collection,"Modern traditional styling is achieved with the design of the Carlow Collection. The profile of the camelback headboard is accented with nailhead furthering the traditional look. Velvet fabric covers bed and offered in three options- Teal, Navy and Gray.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5874TE-1.jpg
1885N-1,Zaira Collection ,The Zaira Collection offers modern traditional design showcasing beautiful nail head accenting headboard which elegantly contrasts its dark grey fabric.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1885N-1.jpg
471PU,Clair Collection ,"As in many homes, the need for functional storage is great. The Clair Collection offers not only the function of storage, but seating as well. The unit is covered in a rich chocolate corduroy, leopard print, or purple medallion fabric and is also available in dark brown, red, taupe or purple bi-cast vinyl that features baseball stitching.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/471PU Open.jpg
586-60,Ameillia Collection ,"Blending the clean lines of Arts & Crafts with functional movement, the Ameillia Collection is a solid addition to your casual dining space. The drop-leaf counter height table features a Lazy-Susan making mealtime service a breeze. Substantial tapered legs and birch veneer in a dark oak finish complement this simple and refined dining option.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/586-60.jpg
8437-1LT,Iola Collection ,"Traditionally styled for your living space, the Iola Collection will provide you with a functional chair to fit your personal needs. Via the attached controller, you are taken from seating to reclining or standing position. The taupe 100% polyester cover, rolled arms and nail head accent further lend the classic look of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8437-1LT.jpg
5888-1*,Bossa Nova Collection,"Modern traditional glamour is expertly executed in the design of the Bossa Nova Collection. The sunburst tufting that centers at the headboard and footboard is secured with an oversize button for maximum dramatic effect. The profile of the bed features nail head accent lending definition to the contoured shape of the collection. For the ultimate in versatility of decorative choices, the bed is covered in light grey fabric.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5888-1.jpg
8202GRY-3,Sinclair Collection ,"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8202GRY_.jpg
8367TP-3,Emilio Collection ,"Subtle texture lends visual and tactile interest in the Emilio Collection. The set-up process allows you to configure the three-seat unit to accommodate the chaise on either the left or right side, providing for perfect placement within your living space. The accompanying ottoman can be an added comfort to put feet up when relaxing. The collection is offered in either taupe or chocolate, furthering the versatility of the sectional seating group.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8367TP-3 8367TP-5 8367TP-4.jpg
