description,name,image,number
"With options that allow for the perfect placement within your bedroom is the Bartly Collection. This transitional bedroom group is featured in a natural pine finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations â along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds â toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",Bartly Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/B2043PR-1__12-750x500.jpg,B2043PR-1
"With options that allow for the perfect placement within your bedroom is the Bartly Collection. This transitional bedroom group is featured in a natural pine finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations â along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds â toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",Bartly Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/B2043SB-1__1-750x500.jpg,B2043SB-1
"With options that allow for the perfect placement within your bedroom is the Bartly Collection. This transitional bedroom group is featured in a natural pine finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations â along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds â toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",Bartly Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/B2043FF-1__1-750x500.jpg,B2043FF-1
"Providing flexible options to fit any size bedroom is the Galen Collection. This transitional bedroom group is featured in a white finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations â along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds â toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",Galen Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/B2053PRW-1__1-750x500.jpg,B2053PRW-1
"Providing flexible options to fit any size bedroom is the Galen Collection. This transitional bedroom group is featured in a white finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations â along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds â toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",Galen Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/B2053SBW-1__1-750x500.jpg,B2053SBW-1
"Providing flexible options to fit any size bedroom is the Galen Collection. This transitional bedroom group is featured in a white finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations â along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds â toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",Galen Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/B2053FFW-1__1-750x500.jpg,B2053FFW-1
"Maximizing sleep space is achieved with the stylish Rowe Collection. This transitional bedroom group is featured in a dark cherry finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations â along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds â toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",Rowe Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/B2013PRDC-1__1-750x500.jpg,B2013PRDC-1
"Maximizing sleep space is achieved with the stylish Rowe Collection. This transitional bedroom group is featured in a dark cherry finish making it an appropriate choice for a number of youth bedroom settings. With twin over full, twin over twin, full over full configurations â along the newly available captains bed, with trundle that features two drawers, and twin/twin bunk with storage stair steps - the design allows you to choose the size that is right for your family. Two under bed options are available for the bunk beds â toy boxes that provide additional storage space or twin trundle that offers additional sleep space.",Rowe Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/B2013SBDC-1__1-750x500.jpg,B2013SBDC-1
The arched panels of the headboard and footboard create eye-catching drama in the Tiana Collection. The white finish along with ball finials and the circle motif - that centers the headboard and footboard â all lend to the traditional look of the collection. Twin and full bed size options are available.,Tiana Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2052FW-1__1-750x500.jpg,2052FW-1
"Ball finials, prominent decorative jointing and classic quatrefoil pattern lend to the modern traditional look of the Morris Collection. The collection is offered in twin and full size bed options for versatile placement within your home.",Morris Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2051FBK-1__1-750x500.jpg,2051FBK-1
"The Gavino Collection is styled for the modern bedroom, utilizing minimalistic design elements to create a unique look. Gray metal framing provides contrast to the brown fabric inserts of the headboard and footboard.",Gavino Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2049F-1__1-750x500.jpg,2049F-1
"Modern traditional styling is utilized to create the design of the Jayla Collection. Black metal framing is perfectly contrasted by the brown bi-cast vinyl button-tufted inserts of the headboard and footboard, creating a unique look for your bedroom. The collection is offered in twin and full size beds.",Jayla Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2050F-1__1-750x500.jpg,2050F-1
"Traditional styling lends to the classic look of the Lia Collection. Offered in twin and full, this white metal bed features prominent decorative jointing and ball finials creating a casual traditional option for your bedroom.",Lia Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2048FW-1__1-750x500.jpg,2048FW-1
"Designed for the traditional home, the Mardelle Collection is a timeless look for your bedroom. Offered in twin and full, this black metal bed features X-panels accent with medallion centers and ball finials, lending to the classic look.",Lia Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2047FBK-1__1-750x500.jpg,2047FBK-1
"Classic traditional styling creates an elegant addition to your home in the Lucida Collection. Bead molding, shell motif, and a round mirror in traditional framing provide classic accent to the bedroom group. The twin and full bed options provide a flexible option to fit your space. The collection is offered in white and cherry finish.",Lucida Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2039TC-1__1-750x500.jpg,2039TC-1
 ,Lucida Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2039TW-1__1-750x500.jpg,2039TW-1
Industrial design is subtly used to achieve a cool look for your bedroom in the Woodrow Collection. Dark metal hardware and corner banding with rivet look lend to the casual look of this bedroom group. Melamine laminate features a weathered-wood look that furthers the intended design. Black bi-cast vinyl accents of the headboard provides distinct complementing contrast to the finish of the collection.,Woodrow Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2042T-1__1-750x500.jpg,2042T-1
"Transitionally styled for your bedroom is the Garcia Collection. Created for versatile placement within a number of environments the louvered panel accents, distinct framing along with a cool gray finish over birch veneer combine to provide a clean palate for your personal decorative style. Nickel knob hardware provides subtle, yet distinct, contrast to the fronts of each case piece. The available desk is a functional addition to the collection with keyboard tray and drawer storage. The collection is offered in twin, full, queen, eastern king and california king for the perfect fit within your bedroom.",Garcia Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/2046-1__1-750x500.jpg,2046T-1
"Created for the traditional bedroom, the Aviana Collection is a study in classic styling and modern presentation. An antiqued gray finish provides an open canvas for your personal decorative touch. Carved feet support classically styled case goods â each featuring teardrop hardware with an antiqued pewter finish. Raised panels further the traditional look of the case piece drawer fronts. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",Aviana Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1977T-1__1-750x500.jpg,1977T-1
"With a hint of weathering so popular in industrial styling, the Lonan Collection will fit into the rustic contemporary aesthetic that you look to achieve in your bedroom. Melamine laminate mimics the look of sun-bleached wood with a darker under-hue providing subtle contrast to the design of the group, with dark finished metal handles providing additional contrast. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",Lonan Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1955T-1__1-750x500.jpg,1955T-1
