description,name,image,number
Combining traditional styling with plush comfort is the Haughton Collection. Brown top grain leather with vinyl match is accented with contrast stitching and nailhead accent supporting the masculine feel of this seating group. Manually engaged motion mechanisms allow for quick transition from seated to prone with the quick pull of a tab. Each piece in the collection reclines for the ultimate in comfort. The sofa and love seat feature dual reclining ends with the solo chair extending for individual comfort.,Haughton Collection ,https://www.homelegance.com/wp-content/uploads/2017/04/8240-3__1-750x500.jpg,8240-3
"Complementing your homeâs dÃ©cor is the Adlai Collection. The modern wingback accent chair is offered in a blue or gray quatrefoil pattern, adding distinct flair to any room in your home. Wood legs support, lending further accent to the modern traditional profile of the chair.",Adlai Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1277__1-750x500.jpg,1277
"The classic wing-back chair is updated for the modern traditional home in the Devon Collection. The elongated, button-tuft accented chair back gives way to the gentle slope of the low-profile arm while wood legs provide support. The collection is offered in brown or beige fabric coverings for versatile placement in your home.",Devon Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1197__1-750x500.jpg,1197
"Not every home is created the same and the unique design of the Phelps Collection allows for maximum flexibility with its reversible chaise. With two available coverings chocolate microfiber and brownish gray fabric, refined track arm, and comfortable seating, the collectionâs style is compatible in a number of settings. The matching ottoman provides additional comfort and function to your living area.",Phelps Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/9789BRG-3LC__1-750x500.jpg,9789BRG-3LC
"One need not feel constricted by the spatial limitations of their homeâs layout with the Savarin Collection. The modular sectional allows for the extension of either the left or right side with the swap of the individual chair and ottoman components. Decorative versatility comes in the form of the two fabric options, dark brown or light gray and stitch tufting that furthers the transitional styling to complete the look.",Savarin Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8226GY__1-750x500.jpg,8226GY
"One need not feel constricted by the spatial limitations of their homeâs layout with the Savarin Collection. The modular sectional allows for the extension of either the left or right side with the swap of the individual chair and ottoman components. Decorative versatility comes in the form of the two fabric options, dark brown or light gray and stitch tufting that furthers the transitional styling to complete the look.",Savarin Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8226DB__1-750x500.jpg,8226DB
"Subtle texture lends visual and tactile interest in the Emilio Collection. The set-up process allows you to configure the three-seat unit to accommodate the chaise on either the left or right side, providing for perfect placement within your living space. The accompanying ottoman can be an added comfort to put feet up when relaxing. The collection is offered in either taupe or chocolate, furthering the versatility of the sectional seating group.",Emilio Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8367CH-3__1-750x500.jpg,8367CH-3
"Subtle texture lends visual and tactile interest in the Emilio Collection. The set-up process allows you to configure the three-seat unit to accommodate the chaise on either the left or right side, providing for perfect placement within your living space. The accompanying ottoman can be an added comfort to put feet up when relaxing. The collection is offered in either taupe or chocolate, furthering the versatility of the sectional seating group.",Emilio Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8367TP-3__1-750x500.jpg,8367TP-3
"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",Sinclair Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8202CH-SC__1-750x500.jpg,8202CH-SC
"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",Sinclair Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8202CH-3__1-750x500.jpg,8202CH-3
