description,name,image,number
"Opening to reveal additional seating, the Kennelly Collection is a fun and functional accent for your home. The larger nesting accent ottoman provides additional storage when the smaller ottoman is removed. Offered in brown, blue, mustard and red, the larger ottoman is encircled by high-polish nail head accenting for added stylistic drama.",Kennelly Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4510__1-750x500.jpg,4510
"Providing extra seating in your casual dining space, the Yara is a modern take on the classic barstool. Intersecting circles stack one upon the other to create eye-catching style and serve as the base to support the gray fabric seat. The accent barstools are offered in 19.5-inch and 28-inch heights to meet the requirements for your space.",Yara Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4508-PH-333x500.jpg,4508-PH
"Complementing your homeâs dÃ©cor is the Adlai Collection. The modern wingback accent chair is offered in a blue or gray quatrefoil pattern, adding distinct flair to any room in your home. Wood legs support, lending further accent to the modern traditional profile of the chair.",Adlai Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1277__1-750x500.jpg,1277
"The classic wing-back chair is updated for the modern traditional home in the Devon Collection. The elongated, button-tuft accented chair back gives way to the gentle slope of the low-profile arm while wood legs provide support. The collection is offered in brown or beige fabric coverings for versatile placement in your home.",Devon Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1197__1-750x500.jpg,1197
"Delicate carvings and a woven rattan back grace the show wood frame in the Parlier Collection. The enhanced texture of the wood grain is highlighted by a grey weathered finish, while a natural color fabric covers the plush feather down seating in this elegant offering. The coordinating ottoman allows for the achievement of ultimate relaxation.",Parlier Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1234-1
"Designed for your comfort, the Thea Collection will be a creative accent to your ultra-modern home. The molded plastic seat is perched atop metal cross supports and features streamlined maple finish rocker rails that provide a natural contrast to the stylized seating.",Thea Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/1180__1-333x500.jpg,1180
 ,Hall Tree Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,5333A
 ,Ladd Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,4723
 ,Hall Tree Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,5322A
Created in the profile of a wine barrel the Chardonnay wine refrigerator will be the talk of your next gathering. The door of the unit opens to reveal row upon row of wine storage racks ready for you to load your favorite bottles. The lift top conveniently provides storage and the controls that keep your favorite wine at the optimal temperature. The dark cherry finish complements the rustic look of this unique unit.,Cabernet Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4521__1-333x500.jpg,4521
Created in the profile of a wine barrel the Cabernet wine refrigerator will be the talk of your next gathering. The door of the unit opens to reveal row upon row of wine storage racks ready for you to load your favorite bottles. The lift top conveniently provides storage and the controls that keep your favorite wine at the optimal temperature. The dark oak finish complements the rustic look of this unique unit.,Cabernet Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4520__1-333x500.jpg,4520
"With a base that lends to a modern look and seat that has design roots that lean towards a more traditional styling, the Destry Collection will be a versatile choice for your home. The continuous frame of the black metal base supports the button tufted fabric seat. Offered in dark gray and beige for the perfect pairing to your home dÃ©cor.",Destry Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4507-F2__1-333x500.jpg,4507-F2
"With a base that lends to a modern look and seat that has design roots that lean towards a more traditional styling, the Destry Collection will be a versatile choice for your home. The continuous frame of the black metal base supports the button tufted fabric seat. Offered in dark gray and beige for the perfect pairing to your home dÃ©cor.",Destry Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4507-F1__1-333x500.jpg,4507-F1
"Mottled coloring provides realistic enhancement to the alligator embossed bi-cast vinyl seat of the Nestor Collection. Supported by a chrome base, this modern accent bench is a glamorous addition to your homeâs dÃ©cor.",Qirin Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4506PU__1-333x500.jpg,4506PU
"Designed with a traditional touch and a nod towards modern classicism, the Qirin Collection accent bench is a gorgeous option for your home. A sturdy metal frame design is supported with subtle distressed white finish covers the turned legs and is elegantly accented by the bluish gray, button-tufted seat.",Qirin Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4502FA__1-750x500.jpg,4502FA
"A bold statement for any room the Tala Collection provides function and style for your living space. Offered in dark blue and brown, each piece is boldly accented with a white quatrefoil pattern. The attached lift top allows for discrete storage space within your home.",Tala Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4501-F2__1-333x500.jpg,4501-F2
"A bold statement for any room the Tala Collection provides function and style for your living space. Offered in dark blue and brown, each piece is boldly accented with a white quatrefoil pattern. The attached lift top allows for discrete storage space within your home.",Tala Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4501-F1__1-333x500.jpg,4501-F1
Â ,Cleo Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4500-F3__1-750x500.jpg,4500-F3
 ,Cleo Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4500-F2__1-750x500.jpg,4500-F2
 ,Cleo Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/4500-F1__1-750x500.jpg,4500-F1
 ,Elista Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5873N-ST__1-750x500.jpg,5873N-ST
 ,Elista Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5873N-BH__1-750x500.jpg,5873N-BH
 ,Sedley Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5415RF-FBH__1-750x500.jpg,5415RF-FBH
A straight back gives way to the delicate slope of the arms in the Harmony Collection. This elegant accent chair is offered in a neutral beige fabric for ultimate flexibility for placement in your home. Low polish nailhead provides stylish contrast and decorative flair.,Harmony Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1195F1S__1-333x500.jpg,1195F1S
"Retro lines need not stay in the past with the mid-century inspired lines of the Lucille Collection. With fabric offerings that range from neutral to bold such as beige, gray, blue, and orange further complemented with button-tufted accenting and stylishly appointed legs, this classic accent chair will provide a look that shows your personal style.",Lucille Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1192RN__1-333x500.jpg,1192RN
