description,name,image,number
"Blending traditional lines with modern glamour is the Crawford Collection. Finished in an eye-catching silver, the collection will be a dramatic addition to your homeâs dining room. Cabriole legs lend traditional accent to all pieces in the collection. Unique accenting abounds in this collection, the tabletop features inset opaque glass panels and the chairs are enhanced with crystal button tufting. The china lends visual impact as well as functional display and behind drawer and door storage areperfect for your prized table top accessories.",Crawford Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5546-84__1-750x500.jpg,5546
Ultra modern styling is exemplified with the design of the Florian Collection. The collection is offered in two color options â black metal legs with black glass top or white metal legs with clear glass top â for the perfect fit in your casual dining space. Bi-cast vinyl covered seats in coordinating black or white complete the contemporary look.,Florian Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5538W__1-750x500.jpg,5538W
Ultra modern styling is exemplified with the design of the Florian Collection. The collection is offered in two color options â black metal legs with black glass top or white metal legs with clear glass top â for the perfect fit in your casual dining space. Bi-cast vinyl covered seats in coordinating black or white complete the contemporary look.,Florian Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5538BK__1-750x500.jpg,5538BK
Ultra-modern styling is executed flawlessly in the design of the Sona Collection. Immediately drawing your attention and providing stylistic drama to the casual dining group is the silver finished metal base and elongated cut-away bi-cast vinyl backs of the flanking dining chairs. Silver finished metal table legs support the dual glass table top â the dining surface features a clear glass with black framing while the lower display shelf features black glass providing contrast and a finish that lends a modest touch to the over-the-top design of this casual dining offering.,Sona Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5532-36__1-750x500.jpg,5532
"Old world European Grandeur is exemplified in the design of the Chilton Collection. Traditional decorative elements come into play throughout the entire collection â egg & dart molding, acanthus leaf carving, floral medallions, bead molding â creating a look that will lend opulent styling to your classic dining room. Shield back dining chairs feature a neutral tone upholstered seat and are supported by intricately carved legs. A double pedestal base supports the 112-inch table top. Lending additional function to the collection is the china, with its impressive stature, featuring behind glass display storages as well as drawer and behind wood door storage. The traditional cherry finish features elegant gold tipping synonymous with the classic styling of this opulent dining collection.",Chilton Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5531-112__1-750x500.jpg,5531
With subtle country aesthetic lending distinct influence to the design of the Cline Collection it will place perfectly in your traditional casual dining space. Gently curved arms descend from the traditional Windsor back chair creating an inviting environment in which to enjoy your meal or conversation time. The rectangular table top features rounded corners that enhance the updated style. The two tone finish lends visual contrast making this a unique choice for your dining space.,Cline Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5530-78__1-750x500.jpg,5530
"Classic soft modern styling creates the look of the Fielding Collection. Unfettered design makes for a classically refined profile, while black inset glass is utilized for perfect contrast to the brown finish of the wood table frame. Flanking the table are the side chairs, offered in either dark or light gray fabric. The accompanying server has drawer, behind door and wine rack storage for style and functional usage. Offered in both traditional and counter height for perfect placement in your dining room.",Fielding Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5525-36__11-750x500.jpg,5525
"Classic soft modern styling creates the look of the Fielding Collection. Unfettered design makes for a classically refined profile, while black inset glass is utilized for perfect contrast to the brown finish of the wood table frame. Flanking the table are the side chairs, offered in either dark or light gray fabric. The accompanying server has drawer, behind door and wine rack storage for style and functional usage. Offered in both traditional and counter height for perfect placement in your dining room.",Fielding Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5525-72__1-750x500.jpg,5525
"An updated look for the casual country inspired dining space, the Fulbright Collection is a warm and inviting addition to your home. A weathered gray rub through finish serves to contrast the coffee finish of the table top, seats and server top, lending to the updated styling of the traditional look. The available bench provides an additional seating option beyond the expected side chair configuration, creating an open and inviting communal look.",Fulbright Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5520-78__1-750x500.jpg,5520
"Rustic industrial styling heavily influences the design of the Mattawa Collection. Metal banded rivet accenting provides visual contrast to the chairs, table and server of this casual dining collection. The brown finish has hints of gray undertone lending to the rustic look. Accompanying the collection is the server, featuring drawers and behind door storage.",Mattawa Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5518-78__1-750x500.jpg,5518
"With a design that hints at futuristic contemporary styling, the Onofre is a unique offering for your casual dining space. Immediately drawing your eye is the dramatic body hugging curve of the chairs â blending wood framing and bi-cast vinyl seats to create a profile that is out of this world. The supporting table base interlocks to create a substantial, yet open look. The look of the thick table top carries through to the design of the accompanying server. Door and drawer storage allow for the stowage of tabletop accessories, while the horizontal wine rack provides additional function. A brown finish is utilized to highlight the mindy veneer of the collection.",Onofre Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5517-78__1-750x500.jpg,5517
"At home in a casual country setting, the Janina Collection allows for a customizable look to match the dÃ©cor of your dining space. The natural finish of the pine veneer serves to contrast the 4 available colors â teal, black, white, buttermilk â and allowing for an eclectic mix and match combination or singular color configuration.",Janina Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5516-66__1-750x500.jpg,5516
"In keeping with the spirit of the need for versatility within the more modest of dining spaces, the Orpheus Collection provides function and style making it the perfect addition to your home. Mid-century modern design is immediately discernable as you take in the collectionâs profile. Stacking chairs allow for quick and compact storage, while the natural pine finish of the legs and gray finish of the table top, chair backs and seats lend to the contemporary styling.",Orpheus Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5515GY__1-750x500.jpg,5515GY
Classic transitional styling is utilized to create a casual look for your dining room in the Timber Forge Collection. Enhancing the wood grain veneer is a cherry finish that furthers classic design of the group. Vertical slats provide back support and neutral tone padded fabric seat lend contrast to the wood framed chairs.,Timber Forge Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5513-64__1-750x500.jpg,5513
Subtle industrial influence creates the visual appeal of the casual dining tables of the Seaford Collection. V-matched veneer is finished in a gray tone highlights the tone variation of the wood grain. Angled trestle bases support the table tops of the collection while X-back chairs feature bi-cast vinyl padded seats for comfort.,Seaford Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5510-36__1-750x500.jpg,5510
Subtle industrial influence creates the visual appeal of the casual dining tables of the Seaford Collection. V-matched veneer is finished in a gray tone highlights the tone variation of the wood grain. Angled trestle bases support the table tops of the collection while X-back chairs feature bi-cast vinyl padded seats for comfort.,Seaford Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5510-66__1-750x500.jpg,5510
"Classic traditional styling is exemplified in the design of the Glendive Collection. Double pedestals rise to support the table top with a brown cherry finish highlighting the veneer of the wood grain. Turned legs support the urn back chairs, each seat covered with a neutral tone fabric that complements the finish of the collection. The functional display china features door and drawer storage which will provide ample space in which to stow your tabletop accessories. Knob hardware accents the drawers and doors of the collection.",Glendive Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5509-92__1-750x500.jpg,5509
"Rustic styling, that is so popular in the dÃ©cor of many homes, is executed in the design of the Stevensville Collection. Rough-hewn plank effect hardwood veneers feature a dark finish that effectively captures the highs and lows of the wood grain. Accompanying the casual dining group is the server with rolling barn hardware that allows the door to float from open to closed, exposing ample storage space. Ladder back chairs are framed in wood and feature neutral tone fabric seats.",Stevensville Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5504-78__1-750x500.jpg,5504
Sleek contemporary styling provides the platform from which you will create your casual dining space in the Yannis Collection. Ultra-bright high gloss finish of the tabletop and V-shaped support provides a distinct contrast to the high polish chrome base plate. The continuous base of the accenting chairs rises to support gray bi-cast vinyl seats with diamond pattern stitching providing additional visual interest. A smooth glide system opens with ease to reveal the self-storing butterfly leaf.,Yannis Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5503__1-750x500.jpg,5503
"The look of natural weathering is combined with the understated styling of rustic design in the Codie Collection. The look of saw marks on the distressed wood veneer lend perfectly to this trend forward style. Gray undertones play to the weathered look with brown burnishing lending distinct, yet natural contrast. Allowing for perfect placement in your home are the side chairs, with neutral tone fabric seats, and optional 50-inch wood bench. An accompanying server provides drawer and display storage for your tabletop accessories.",Codie Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5544-72__1-750x500.jpg,5544
"The look of Arts and Crafts styling is updated for the modern home in the Makah Collection. Classically framed chairs pair with the tapered leg table to create this casual dining look. A dark brown finish highlights the wood veneer allowing for the neutral tone of the seats to blend with little effort. The drawers of the server, table apron and chairs feature framing that lends accent to the classic look. The accompanying server features a double wine rack as well as drawer and behind door storage.",Makah Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5496-78__1-750x500.jpg,5496
Sophisticated soft contemporary design is achieved in your dining room with the addition of the Savion Collection. Two table types are offered as versatile options to fit in your space â a rectangular double pedestal table and an oval single pedestal table. Both featuring a distinct birdcage style base. An espresso finish highlights the unique veneer pattern. Dramatic flair is lent to the design by the accompanying chairs. Neutral tone fabric covers the substantially sized roll back arm and side chairs. Reeded fronts on the server along with the serpentine profile further the elegance of this distinctly sophisticated collection.,Savion Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5494-76__1-750x500.jpg,5494
Sophisticated soft contemporary design is achieved in your dining room with the addition of the Savion Collection. Two table types are offered as versatile options to fit in your space â a rectangular double pedestal table and an oval single pedestal table. Both featuring a distinct birdcage style base. An espresso finish highlights the unique veneer pattern. Dramatic flair is lent to the design by the accompanying chairs. Neutral tone fabric covers the substantially sized roll back arm and side chairs. Reeded fronts on the server along with the serpentine profile further the elegance of this distinctly sophisticated collection.,Savion Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5494-106__1-750x500.jpg,5494
Burnished wood tabletops sit atop modern-industrial framing in the Sage Collection. Double X-back chairs feature wood upholstered cushioned seats and top-rail accenting that perfectly complements the 66-inch fixed top table. The burnished finish highlights the wood veneer and lends distinct character to this casual dining collection.,Sage Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5512-66__1-750x500.jpg,5512
Transitional lines paired with mixed media elements create the casual look of the Selbyville Collection. The fixed wood top of the group features a rectangular black glass insert that allows you to look down onto the under-table wine storage rack. Metal framing supports the table and wood seat swivel chairs. The cherry finish of the wood is accented by the Gunmetal finished metal.,Selbyville Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5489-36__1-750x500.jpg,5489
"Designed for the more modest of contemporary dining spaces, the Massey Collection will provide big style for the space it occupies. An intertwined espresso-finished X-base supports a round glass top for maximum style. Four neutral toned arm chairs provide stylish support while you and guests enjoy a meal and conversation.",Massey Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5491-48__1-750x500.jpg,5491
"Elevating to suit your needs, the Beacher Collection is a fun and functional addition to your industrial styled home. Metal legs rise to support the turn-rod adjustable height table and stools creating a platform that can be customized at any given time. Weathered wood veneer is segmented into a quadrant pattern on the tabletop for visual interest with faux riveted metal banding providing accent to the table and stools.",Beacher Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5488-36RD__1-750x500.jpg,5488
"Transitionally styled with rustic industrial influence, the Fenwick Collection will be a welcome addition to your casual dining space. The wood grain features distinct rough-hewn saw marks that lend to the rustic aesthetic. A dark gray finish is complemented by the gray, bi-cast vinyl covered, nailhead accent chairs. The optional bench creates additional visual interest as well as a stylish alternative to the traditional chair. Offered in both dining and counter heights, the options make for versatile placement in your casual dining space.",Fenwick Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5480-36__1-750x500.jpg,5480
"Transitionally styled with rustic industrial influence, the Fenwick Collection will be a welcome addition to your casual dining space. The wood grain features distinct rough-hewn saw marks that lend to the rustic aesthetic. A dark gray finish is complemented by the gray, bi-cast vinyl covered, nailhead accent chairs. The optional bench creates additional visual interest as well as a stylish alternative to the traditional chair. Offered in both dining and counter heights, the options make for versatile placement in your casual dining space.",Fenwick Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5480-76__1-750x500.jpg,5480
"Capturing the natural beauty of a treeâs form lends a distinct look to the Tod Collection. The live edge table top features a light finish that serves to highlight the naturally occurring grain of the wood. The solid top is carried over in the design of the accompanying 60-inch bench, both supported with a distinct curved profile base. Wood-framed, brown fabric-covered chairs accompany this distinct table offering.",Tod Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5479-72__1-750x500.jpg,5479
"Created with the look of natural simplicity, the Hobson Collection blends elements of contemporary design to achieve a unique offering for your dining space. The live edge table top features a light finish that serves to highlight the naturally occurring grain of the wood. Supporting the tabletop and accompanying bench are gray finished legs. The solid top is carried over in the design of the accompanying 47.5-inch bench. Wood framed chairs feature a modern profile chair back, wrapped in brown bi-cast vinyl.",Hobson Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5478-72__1-750x500.jpg,5478
"Perfect for the smaller scale, traditional dining space is the Frankford Collection. The brown finish enhances the veneer of the table and accompanying chairs. A storage shelf base provides functionality to the collection while the sheaf back chairs and the neutral tone fabric seats further the traditional element of the casual dining group.",Frankford Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5456__1-750x500.jpg,5456
"With lines that lean towards the contemporary and a natural finish that can be placed in transitional settings, the unique design of the Compson Collection allows for your decorative imagination to run wild. The versatility of two table offerings â one a 77-inch dining height table with self-storing table leaf, the second a 66-inch fixed top counter height table- along with the two tone finish that highlights the natural grain of the walnut veneer table top, are some of the valuable features offered in this dining collection. Wood framed chairs have chocolate brown fabric seats and backs that further the two-tone look of the collection. Following the curve of the table top is the optional 60-inch bench- for both table options. The accompanying server features an open display shelf along with drawer and door storage for stowing your tabletop accessories.",Compson Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5431-36__1-750x500.jpg,5431
"Creating a unique style that blends femininity with gracefully weathered industrial accenting, the Veltry Collection provides an unexpectedly elegant addition to a number of dining spaces. A weathered finish covers the poplar wood veneer of the two table options; a 95.5-inch rectangular trestle table or 45-inch round pedestal table, both featuring nail head accent banding. Nailhead-accented, neutral-tone finished fabric chairs provide subtle contrast that complements the look of the collection.",Veltry Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5328-45RD__1-750x500.jpg,5328
"Creating a unique style that blends femininity with gracefully weathered industrial accenting, the Veltry Collection provides an unexpectedly elegant addition to a number of dining spaces. A weathered finish covers the poplar wood veneer of the two table options; a 95.5-inch rectangular trestle table or 45-inch round pedestal table, both featuring nail head accent banding. Nailhead-accented, neutral-tone finished fabric chairs provide subtle contrast that complements the look of the collection.",Veltry Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5328-96__1-750x500.jpg,5328
"A classic look for your traditional home, the Reid Collection offers an updated country style that will be a warm and inviting addition to your dining space. A cherry finish graces the wood veneer of the group. The rectangular table is supported by substantially appointed double turned leg bases while host and hostess chairs feature nailhead accent, neutral tone fabric and turned legs. The tabletop extends to reveal a self-storing table leaf for quick and convenient placement. The accompanying china provides ample space for display, drawer and behind door storage.",Reid Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5267RF-96__1-750x500.jpg,5267RF
"Casting a glamorous reflection of your personal style, the Orsina Collection will dazzle your friends and family as they enter the sophisticated dining space you have created. A sparkling silver finish enhances the mirrored table apron and fronts of the server while the pearl bi-cast vinyl of the accompanying chairs lends elegant contrast. Crystal button tufting lends additional sparkle to the collection. The server provides ample drawer and behind door storage allows for the safe keeping of your tabletop accessories.",Orsina Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5477N-96__1-750x500.jpg,5477N
"Modern glamour is exemplified in the design of the Bevelle Collection. Acrylic crystals frame each piece in the collection, reflecting the light to create eye-catching drama. The silver finish serves as the perfect complement to the high-polish decorative knob hardware of the china and server while medallion accents grace all pieces. Providing contrast to finish is the dark gray bi-cast vinyl of the side chairs and arm chairs. A coordinating bedroom is also available.",Bevelle Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1958-96__1-750x500.jpg,1958
"Modern traditional styling is lent a rustic touch in the design of the Lindley Collection. Walnut veneers, over solid wood, are finished in a dusty gray that complements the rich tone of the natural wood look. The dining table features an X-support trestle base and is flanked by oval backed neutral toned fabric lending to versatile placement with your home dÃ©cor. Round pull hardware punctuates each drawer front of the display china and server, while graceful lines lend a distinct feminine touch to the entire collection.",Lindley Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1947-96__3-750x500.jpg,1947
"With styling that exemplifies traditional design, the Bonaventure Park Collection exudes sophistication and refined elegance. Cantered pilasters frame the serpentine fronted china and server, while egg and dart molding, acanthus leaf motif and bale, and button hardware lend to the traditional look of all pieces. Burl inlay creates beautiful contrast to the gold-highlighted cherry finish of the collection. Two table options provide flexibility for placement in your dining space â the first, a 110-inch double pedestal base rectangular top table, the second, a 76-inch oval top single pedestal base table. Button-tufted traditional tweed fabric features prominently on the accompanying wood-framed chairs.",Bonaventure Park Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1935-76__1-750x500.jpg,1935
"With styling that exemplifies traditional design, the Bonaventure Park Collection exudes sophistication and refined elegance. Cantered pilasters frame the serpentine fronted china and server, while egg and dart molding, acanthus leaf motif and bale, and button hardware lend to the traditional look of all pieces. Burl inlay creates beautiful contrast to the gold-highlighted cherry finish of the collection. Two table options provide flexibility for placement in your dining space â the first, a 110-inch double pedestal base rectangular top table, the second, a 76-inch oval top single pedestal base table. Button-tufted traditional tweed fabric features prominently on the accompanying wood-framed chairs.",Bonaventure Park Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1935-110__1-750x500.jpg,1935
